dh,x,y,z
1,19973.679,18695.715,214.254
2,19973.252,18693.104,213.473
3,20186.028,18760.983,181.109
4,20075.314,18633.446,228.578
5,20075.888,18631.392,229.934
6,20076.871,18632.297,229.78
7,19795.52,18736.714,278.651
8,20162.432,18560.609,250.494
9,20012.448,18531.855,276.822
10,19890.236,18855.313,243.527
11,19891.195,18853.326,243.886
12,19892.755,18854.629,243.229
13,19994.227,18571.486,273.232
14,19868.448,18644.49,276.992
15,20007.124,18610.304,251.71
16,20021.282,18782.815,216.162
17,20023.526,18782.051,214.999
18,20023.283,18783.019,214.806
19,20053.472,18653.037,216.792
20,19997.407,18801.407,203.027
21,19838.498,18910.924,222.199
22,19863.72,18875.29,240.453
23,19841.939,18939.642,209.24
24,20053.058,18967.608,202.074
25,20052.014,18967.731,202.409
26,19805.929,18890.419,233.176
27,20088.132,18783.97,171.78
28,20088.388,18783.299,172.06
29,19888.718,18795.266,247.217
30,19864.348,18980.039,174.465
31,19914.29,19036.633,171.34
32,20004.724,18900.594,213.213
33,19878.813,18739.092,251.848
34,19945.62,18677.873,231.413
35,19939.078,18948.818,220.534
36,20130.429,18526.705,272.374
37,19917.122,18920.958,229.114
38,19888.983,18900.522,228.066
39,19891.064,18900.733,227.854
40,19889.176,18900.679,228.011
41,19830.357,18977.118,176.15
42,19833.308,18978.84,174.343
43,20016.898,18697.599,210.142
44,19832.767,18871.986,245.591
45,19973.734,18541.931,278.414
46,20130.031,18698.855,216.918
47,20130.375,18699.453,216.547
48,20010.679,18642.871,237.529
49,20042.715,18868.572,196.089
50,20095.922,18694.018,211.548
51,19978.138,18782.008,210.424
52,20116.173,18631.78,247.572
53,20114.805,18634.257,247.03
54,20112.867,18634.026,247.02
55,20078.71,18571.893,266.374
56,19808.598,18776.324,273.697
57,19990.263,18511.06,276.933
58,19946.076,18915.186,231.992
59,19945.656,18916.116,232.049
60,19908.073,18746.099,240.25
61,19972.022,18745.219,233.932
62,19972.535,18747.339,233.189
63,19927.168,18704.865,240.407
64,19928.926,18701.629,238.523
