DHID,DEPTH,AZIMUTH,INCLINATION
DDH-0001,0.0,-0.22,-69.98
DDH-0001,40.0,-1.57,-69.1
DDH-0001,80.0,1.73,-69.5
DDH-0001,140.0,5.32,-69.37
DDH-0002,193.0,-0.76,-62.62
DDH-0002,100.0,-0.91,-62.79
DDH-0002,0.0,-0.24,-62.42
DDH-0003,153.5,-0.93,-75.94
DDH-0003,0.0,-0.61,-75.19
DDH-0003,222.5,-0.63,-70.21
DDH-0003,291.5,-0.26,-68.07
DDH-0004,0.0,-0.38,-50.75
DDH-0005,110.0,-2.91,-41.14
DDH-0005,0.0,-0.31,-39.93
DDH-0005,145.0,-10.09,-41.45
DDH-0005,63.0,-2.63,-41.96
DDH-0006,0.0,-0.55,-51.89
DDH-0006,106.2,-1.33,-52.25
DDH-0006,141.2,-2.22,-51.24
DDH-0007,0.0,-0.74,14.13
DDH-0007,130.7,-0.8,14.93
DDH-0007,100.7,-0.12,16.99
DDH-0008,122.0,-0.87,-31.05
DDH-0008,95.0,-0.82,-30.78
DDH-0008,65.0,7.6,-30.46
DDH-0009,138.8,-0.8,-5.88
DDH-0009,94.0,-0.02,-4.38
DDH-0009,65.0,1.05,-3.06
DDH-0009,0.0,-0.94,-4.07
DDH-0010,0.0,-0.96,21.96
DDH-0010,101.0,2.68,21.79
DDH-0010,138.6,0.53,18.49
DDH-0010,54.9,-0.81,21.27
DDH-0011,0.0,-0.17,-36.94
DDH-0011,63.3,-0.81,-38.48
DDH-0011,75.3,-0.85,-39.72
DDH-0011,27.3,-0.56,-37.34
DDH-0011,39.3,-0.47,-37.89
DDH-0011,51.3,-0.51,-38.07
DDH-0011,147.3,-0.46,-40.54
DDH-0011,145.1,-0.62,-40.97
DDH-0011,135.3,-0.45,-41.0
DDH-0011,123.3,-0.44,-40.18
DDH-0011,111.3,-0.19,-39.78
DDH-0011,99.3,-0.53,-39.34
DDH-0011,87.3,-0.29,-39.02
DDH-0011,15.3,-0.26,-37.31
DDH-0012,0.0,-0.26,-23.38
DDH-0012,65.0,-0.28,-22.28
DDH-0012,105.0,-0.37,-23.76
DDH-0012,130.0,-0.33,-23.44
DDH-0013,0.0,-0.78,-66.24
DDH-0014,30.3,4.36,-22.49
DDH-0014,86.2,6.78,-24.03
DDH-0014,81.0,5.08,-24.78
DDH-0014,66.3,3.31,-23.95
DDH-0014,57.3,3.56,-22.1
DDH-0014,48.3,4.5,-22.47
DDH-0014,39.3,3.44,-22.31
DDH-0014,21.3,3.26,-22.16
DDH-0014,12.3,4.16,-22.66
DDH-0014,0.0,-0.67,-21.86
DDH-0014,114.7,6.65,-24.56
DDH-0015,0.0,-0.69,-3.25
DDH-0015,15.3,1.3,-4.22
DDH-0015,27.3,1.88,-5.14
DDH-0015,39.3,1.54,-5.1
DDH-0015,51.3,1.01,-5.86
DDH-0015,75.3,3.09,-6.86
DDH-0015,99.3,5.07,-7.93
DDH-0015,108.3,5.87,-7.23
DDH-0015,117.3,5.91,-7.87
DDH-0015,126.3,5.97,-8.69
DDH-0015,144.3,4.8,-9.4
DDH-0015,63.3,3.21,-6.4
DDH-0015,135.3,4.86,-8.61
DDH-0016,0.0,-0.99,-56.66
DDH-0016,280.0,1.3,-61.08
DDH-0017,0.0,-0.45,-49.13
DDH-0017,70.0,-0.65,-49.34
DDH-0017,147.0,-0.64,-50.54
DDH-0017,197.0,-0.92,-50.14
DDH-0018,0.0,-0.22,-3.77
DDH-0018,51.3,1.96,-6.56
DDH-0018,125.7,1.95,-9.87
DDH-0018,114.3,1.92,-8.63
DDH-0018,80.3,0.42,-7.34
DDH-0018,87.3,0.31,-7.23
DDH-0019,93.1,-0.35,-24.69
DDH-0019,143.1,2.66,-26.58
DDH-0019,120.3,2.75,-25.98
DDH-0019,81.3,0.69,-24.75
DDH-0019,57.3,1.85,-24.37
DDH-0019,45.3,-0.31,-23.49
DDH-0019,33.3,0.03,-22.69
DDH-0019,0.0,-0.71,-22.35
DDH-0019,102.3,3.03,-25.37
DDH-0019,93.3,3.39,-24.1
DDH-0020,0.0,-0.47,-62.34
DDH-0020,176.3,7.75,-63.54
DDH-0020,116.3,1.03,-62.09
DDH-0020,248.3,8.15,-63.71
DDH-0021,0.0,-0.16,0.45
DDH-0022,150.6,-12.19,-69.78
DDH-0022,116.6,-5.44,-69.73
DDH-0022,74.6,-1.12,-68.32
DDH-0022,0.0,-0.19,-69.69
DDH-0023,0.0,-0.68,18.87
DDH-0023,146.0,-10.73,7.23
DDH-0023,100.0,-4.02,13.45
DDH-0024,0.0,-0.22,-51.2
DDH-0024,148.8,-4.65,-50.31
DDH-0024,208.8,-4.27,-51.92
DDH-0024,250.8,-4.66,-51.41
DDH-0025,98.0,-0.71,-73.15
DDH-0025,257.0,2.07,-75.42
DDH-0025,275.0,2.14,-75.24
DDH-0025,0.0,-0.27,-73.11
DDH-0026,0.0,-0.32,-49.94
DDH-0027,170.0,2.37,-57.39
DDH-0027,0.0,-0.16,-57.71
DDH-0027,82.0,0.63,-58.6
DDH-0028,125.0,-2.18,1.92
DDH-0028,0.0,-1.4,8.23
DDH-0028,161.0,-3.09,-0.18
DDH-0028,173.0,-1.85,-0.42
DDH-0028,137.0,-2.09,0.92
DDH-0028,149.0,-3.35,1.01
DDH-0028,197.0,-2.92,-2.87
DDH-0028,185.0,-2.85,-1.18
DDH-0029,60.0,7.26,-35.69
DDH-0029,0.0,-0.71,-35.03
DDH-0029,93.0,5.4,-33.67
DDH-0030,0.0,-0.06,-55.34
DDH-0030,90.0,-0.42,-53.68
DDH-0030,150.0,-0.53,-54.26
DDH-0031,0.0,-0.31,-9.0
DDH-0031,33.0,-0.85,-10.51
DDH-0032,0.0,-0.55,-69.69
DDH-0033,100.0,9.13,-27.17
DDH-0033,135.0,9.91,-27.59
DDH-0033,0.0,-0.81,-28.05
DDH-0033,75.0,6.01,-27.61
DDH-0034,250.0,-192.18,-83.41
DDH-0034,160.0,-192.55,-83.83
DDH-0034,0.0,-180.01,-82.24
DDH-0035,0.0,-0.8,-49.7
DDH-0035,40.0,-0.52,-50.73
DDH-0035,80.0,-0.55,-50.6
DDH-0035,130.0,1.58,-47.82
DDH-0036,0.0,-0.1,-44.27
DDH-0036,121.6,-0.9,-48.42
DDH-0036,204.6,-0.83,-50.93
DDH-0037,76.4,-0.66,30.17
DDH-0037,112.4,4.12,27.16
DDH-0037,0.0,-0.9,27.99
DDH-0037,149.4,4.29,21.16
